Author,Review,Profession,Date,NumberOfStars
ГРЕМЛИН,"Отличный автосалон. Хороший персонал, отзывчевый. Клиентоориентированны.",Знаток города 9 уровня,5 марта 2018,5
Дыдыкина С.,Это мой рай🤩,Знаток города 11 уровня,9 февраля,5
максим ц.,Всем советую! Пороги-огонь!,Знаток города 5 уровня,1 августа 2019,5
Илья С.,Отличный автосалон,Знаток города 5 уровня,26 августа 2019,5
Игорь Т.,менеджеры на сервисе - нормальные парни!!!,Знаток города 7 уровня,19 марта 2019,5
Александр Г.,"Отличный сервиз,всё на высоте:)",Знаток города 5 уровня,3 января 2019,5
Дмитрий,Стандартная немецкая дрессировка,Знаток города 16 уровня,10 февраля 2019,5
Гульнев И.,Отличная компания. Профессиональный внимательный персонал.,Знаток города 4 уровня,6 января 2018,5
Александр А.,Отличный автосалон.,Знаток города 2 уровня,10 мая 2019,5
Виктор,Не понравился кафетерий :(,Знаток города 13 уровня,17 февраля 2019,5
Андрей,Все хорошо! Сервис на высоте!,Знаток города 4 уровня,8 сентября 2018,5
Сергей М.,достойные сервис и обслуживание,Знаток города 2 уровня,6 октября 2018,5
Вадим В.,Менеджеры ни очем!,Знаток города 3 уровня,9 марта 2019,3
Алексей Г.,Адекватная контора профессионалов,Знаток города 7 уровня,9 августа 2018,5
Максим К.,Всё круто!,Знаток города 8 уровня,18 июня 2019,5
Дмитрий Т.,Отличный сервис,Знаток города 3 уровня,26 января 2019,5
Дмитрий Баюшкин,Не плохо,Знаток города 8 уровня,25 мая 2019,5
Дмитрий С.,Внимательные сотрудники!,Знаток города 5 уровня,23 мая 2018,5
ZLODEL,Все супер,Знаток города 7 уровня,17 марта 2019,5
Валерий П.,"Прекрасный автосалон. Машину покупали тут , здесь же и обслуживаемся. Очень приветливый персонал и много внимания каждому клиенту. Всегда с удовольствием посещаю это место и другим советую.",Знаток города 2 уровня,24 декабря 2019,5
